Datetime,Water Level (m)
2023-11-21 18:00:00,0.29037672
2023-11-21 19:00:00,0.14651142
2023-11-21 20:00:00,-0.025152907
2023-11-21 21:00:00,-0.17915942
2023-11-21 22:00:00,-0.29968745
2023-11-21 23:00:00,-0.3743737
2023-11-22 00:00:00,-0.22906673
2023-11-22 01:00:00,-0.031372312
2023-11-22 02:00:00,0.20252715
2023-11-22 03:00:00,0.488144
2023-11-22 04:00:00,0.6763442
2023-11-22 05:00:00,0.6329175
2023-11-22 06:00:00,0.49064407
2023-11-22 07:00:00,0.3005301
2023-11-22 08:00:00,0.08646133
2023-11-22 09:00:00,-0.09990653
2023-11-22 10:00:00,-0.25674596
2023-11-22 11:00:00,-0.41714796
2023-11-22 12:00:00,-0.5120657
2023-11-22 13:00:00,-0.31542537
2023-11-22 14:00:00,-0.0525564
2023-11-22 15:00:00,0.22000109
2023-11-22 16:00:00,0.52837914
2023-11-22 17:00:00,0.71847576
2023-11-22 18:00:00,0.66312605
2023-11-22 19:00:00,0.5128075
2023-11-22 20:00:00,0.32572228
2023-11-22 21:00:00,0.116492346
2023-11-22 22:00:00,-0.061681308
2023-11-22 23:00:00,-0.20983091
2023-11-23 00:00:00,-0.34702668
2023-11-23 01:00:00,-0.30962056
2023-11-23 02:00:00,-0.060981613
2023-11-23 03:00:00,0.16527832
2023-11-23 04:00:00,0.44441542
2023-11-23 05:00:00,0.7040621
2023-11-23 06:00:00,0.6795991
2023-11-23 07:00:00,0.5303077
2023-11-23 08:00:00,0.34618497
2023-11-23 09:00:00,0.1340681
2023-11-23 10:00:00,-0.05694495
2023-11-23 11:00:00,-0.22090653
2023-11-23 12:00:00,-0.38251612
2023-11-23 13:00:00,-0.46823543
2023-11-23 14:00:00,-0.21501616
2023-11-23 15:00:00,0.059994273
2023-11-23 16:00:00,0.3629206
2023-11-23 17:00:00,0.7204335
2023-11-23 18:00:00,0.90056735
2023-11-23 19:00:00,0.82756597
2023-11-23 20:00:00,0.6449401
2023-11-23 21:00:00,0.42902812
2023-11-23 22:00:00,0.20285976
2023-11-23 23:00:00,0.010990721
2023-11-24 00:00:00,-0.14565057
2023-11-24 01:00:00,-0.30691215
2023-11-24 02:00:00,-0.2957843
2023-11-24 03:00:00,0.0025350517
2023-11-24 04:00:00,0.22930227
2023-11-24 05:00:00,0.52234006
2023-11-24 06:00:00,0.7748676
2023-11-24 07:00:00,0.71813357
2023-11-24 08:00:00,0.54137254
2023-11-24 09:00:00,0.3568189
2023-11-24 10:00:00,0.142039
2023-11-24 11:00:00,-0.05025615
2023-11-24 12:00:00,-0.2146749
2023-11-24 13:00:00,-0.3764506
2023-11-24 14:00:00,-0.41345698
2023-11-24 15:00:00,-0.07821689
2023-11-24 16:00:00,0.19268996
2023-11-24 17:00:00,0.53934836
2023-11-24 18:00:00,0.933893
2023-11-24 19:00:00,1.045673
2023-11-24 20:00:00,0.9234374
2023-11-24 21:00:00,0.69751006
2023-11-24 22:00:00,0.46043968
2023-11-24 23:00:00,0.22835147
2023-11-25 00:00:00,0.03494766
2023-11-25 01:00:00,-0.12821497
2023-11-25 02:00:00,-0.30270773
2023-11-25 03:00:00,-0.25532505
2023-11-25 04:00:00,0.074011035
2023-11-25 05:00:00,0.3037574
2023-11-25 06:00:00,0.61010826
2023-11-25 07:00:00,0.8164497
2023-11-25 08:00:00,0.6935898
2023-11-25 09:00:00,0.49910155
2023-11-25 10:00:00,0.31246322
2023-11-25 11:00:00,0.10057435
2023-11-25 12:00:00,-0.08304794
2023-11-25 13:00:00,-0.2533567
2023-11-25 14:00:00,-0.40604553
2023-11-25 15:00:00,-0.33047786
2023-11-25 16:00:00,0.041935623
2023-11-25 17:00:00,0.31808633
2023-11-25 18:00:00,0.7182063
2023-11-25 19:00:00,1.0968657
2023-11-25 20:00:00,1.1255511
2023-11-25 21:00:00,0.9369015
2023-11-25 22:00:00,0.6903611
2023-11-25 23:00:00,0.43715847
2023-11-26 00:00:00,0.21229804
2023-11-26 01:00:00,0.022394905
2023-11-26 02:00:00,-0.15642448
